SourceFile,ElementType,Name,Type,ReturnType,Symbol,Path,Description,Parameters
FlowControls.xml,FlowControl,Loop,,,,,,
FlowControls.xml,FlowControl,Loop,,,,,,
FlowControls.xml,FlowControl,Loop,,,,,,
FlowControls.xml,FlowControl,Return,,,,,,
FlowControls.xml,FlowControl,Switch,,,,,,
FlowControls.xml,FlowControl,Throw,,,,,,Optional Value(Unknown)
FlowControls.xml,FlowControl,Try,,,,,,
FlowControls.xml,FlowControl,Until,,,,,,Required Expression(Unknown)
FlowControls.xml,FlowControl,While,,,,,,Required Expression(Unknown)
Functions.xml,Parameters,Parameters_{},,,,,,
Functions.xml,Method,ACos(Num),,Number,,,; Returns the arccosine (the number whose cosine is the specified number) in radians.,
Functions.xml,Method,ASin(Num),,Number,,,; Returns the arcsine (the number whose sine is the specified number) in radians.,
Functions.xml,Method,ATan(Num),,Number,,,; Returns the arctangent (the number whose tangent is the specified number) in radians.,
Functions.xml,Method,BlockInput(OnOff/SendMouse/MouseMove),,Empty,,,String                                                                                       ; Disables or enables the user's ability to interact with the computer via keyboard and mouse.,
Functions.xml,Method,"CallbackCreate(Function [, Options, ParamCount])",,Integer,,,"; Creates a machine-code address that when called, redirects the call to a function in the script.",
Functions.xml,Method,CallbackFree(Address),,EmptyString,,,; Deletes a callback and releases its reference to the function object.,
Functions.xml,Method,"CaretGetPos([&OutX, &OutY])",,Integer,,,; Retrieves the current position of the caret (text insertion point).,
Functions.xml,Method,Ceil(Num),,Number,,,; Returns the specified number rounded up to the nearest integer (without any .00 suffix).,
Functions.xml,Method,Chr(Num),,String,,,; Returns the string (usually a single character) corresponding to the character code indicated by the specified number.,
Functions.xml,Method,Click(options),,Integer,,,"; Clicks a mouse button at the specified coordinates. It can also hold down a mouse button, turn the mouse wheel, or move the mouse.",
Functions.xml,Method,"ClipWait([Timeout, WaitFor])",,Integer,,,; Waits until the clipboard contains data.,
Functions.xml,Method,"ComCall(Index, ComObj [, Type1, Arg1, TypeN, ArgN, ReturnType])",,Primitive,,,; Calls a native COM interface method by index.,
Functions.xml,Method,ComObjActive(CLSID),,ComObject,,,; Retrieves a registered COM object.,
Functions.xml,Method,"ComObjConnect(ComObj [, PrefixOrSink])",,Any,,,"; Connects a COM object's event source to the script, enabling events to be handled.",
Functions.xml,Method,"ComObjFlags(ComObj [, NewFlags, Mask])",,Integer,,,; Retrieves or changes flags which control a COM wrapper object's behaviour.,
Functions.xml,Method,ComObjFromPtr(DispPtr),,ComObject,,,; Wraps a raw IDispatch pointer (COM object) for use by the script.,
Functions.xml,Method,ComObjGet(Name),,ComObject,,,; Returns a reference to an object provided by a COM component.,
Functions.xml,Method,"ComObjQuery(ComObj, IID)",,ComObject,,,OR ComValue                                                                                           ; Queries a COM object for an interface. Return value type is based on IID.,
Functions.xml,Method,"ComObjQuery(ComObj, SID, IID)",,ComObject,,,OR ComValue                                                                                      ; Queries a COM object for a service. Return value type is based on IID.,
Functions.xml,Method,"ComObjType(ComObj [, InfoType])",,Primitive,,,; Retrieves type information from a COM object.,
Functions.xml,Method,ComObjValue(ComObj),,Integer,,,; Retrieves the value or pointer stored in a COM wrapper object.,
Functions.xml,Method,"ControlAddItem(String, Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Adds the specified string as a new entry at the bottom of a ListBox or ComboBox.,
Functions.xml,Method,"ControlChooseIndex(N, Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,"; Sets the selection in a ListBox, ComboBox or Tab control to be the Nth item.",
Functions.xml,Method,"ControlChooseString(String, Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Sets the selection in a ListBox or ComboBox to be the first entry whose leading part matches the specified string.,
Functions.xml,Method,"ControlClick([ControlOrPos, WinTitle, WinText, Button, ClickCount, Options, NotInTitle, NotInText])",,EmptyString,,,; Sends a mouse button or mouse wheel event to a control.,
Functions.xml,Method,"ControlDeleteItem(N, Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Deletes the specified entry number from a ListBox or ComboBox.,
Functions.xml,Method,"ControlFindItem(String, Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Returns the entry number of a ListBox or ComboBox that is a complete match for the specified string.,
Functions.xml,Method,"ControlFocus(Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Sets input focus to a given control on a window.,
Functions.xml,Method,"ControlGetChecked(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Returns a non-zero value if the checkbox or radio button is checked.,
Functions.xml,Method,"ControlGetChoice(Control [, WinTitle, WinText, NotInTitle, NotInText])",,String,,,; Returns the name of the currently selected entry in a ListBox or ComboBox.,
Functions.xml,Method,"ControlGetClassNN(Control [, WinTitle, WinText, NotInTitle, NotInText])",,String,,,; Returns the ClassNN (class name and sequence number) of the specified control.,
Functions.xml,Method,"ControlGetEnabled(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Returns a non-zero value if the specified control is enabled.,
Functions.xml,Method,"ControlGetExStyle(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Returns an integer representing the style or extended style of the specified control.,
Functions.xml,Method,"ControlGetFocus([WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,"; Retrieves which control of the target window has keyboard focus, if any.",
Functions.xml,Method,"ControlGetHwnd(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Returns the unique ID number of the specified control.,
Functions.xml,Method,"ControlGetIndex(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,"; Returns the index of the currently selected entry or tab in a ListBox, ComboBox or Tab control.",
Functions.xml,Method,"ControlGetItems(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Array,,,"; Returns an array of items/rows from a ListBox, ComboBox, or DropDownList.",
Functions.xml,Method,"ControlGetPos([&OutX, &OutY, &OutWidth, &OutHeight, Control, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Retrieves the position and size of a control.,
Functions.xml,Method,"ControlGetStyle(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Returns an integer representing the style or extended style of the specified control.,
Functions.xml,Method,"ControlGetText(Control [, WinTitle, WinText, NotInTitle, NotInText])",,String,,,; Retrieves text from a control.,
Functions.xml,Method,"ControlGetVisible(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Returns a non-zero value if the specified control is visible.,
Functions.xml,Method,"ControlHide(Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Hides the specified control.,
Functions.xml,Method,"ControlHideDropDown(Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Hides the drop-down list of a ComboBox control.,
Functions.xml,Method,"ControlMove([X, Y, Width, Height, Control, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Moves or resizes a control.,
Functions.xml,Method,"ControlSend(Keys [, Control, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Sends simulated keystrokes to a window or control.,
Functions.xml,Method,"ControlSendText(Keys [, Control, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Sends text to a window or control.,
Functions.xml,Method,"ControlSetChecked(NewSetting, Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Turns on (checks) or turns off (unchecks) a checkbox or radio button.,
Functions.xml,Method,"ControlSetEnabled(NewSetting, Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Enables or disables the specified control.,
Functions.xml,Method,"ControlSetExStyle(Value, Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Changes the extended style of the specified control.,
Functions.xml,Method,"ControlSetStyle(Value, Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Changes the style of the specified control.,
Functions.xml,Method,"ControlSetText(NewText, Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Changes the text of a control.,
Functions.xml,Method,"ControlShow(Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Shows the specified control if it was previously hidden.,
Functions.xml,Method,"ControlShowDropDown(Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Shows the drop-down list of a ComboBox control.,
Functions.xml,Method,"CoordMode(TargetType [, RelativeTo])",,String,,,; Sets coordinate mode for various built-in functions to be relative to either the active window or the screen.,
Functions.xml,Method,Cos(num),,Number,,,; Returns the trigonometric cosine of the specified number.,
Functions.xml,Method,Critical(OnOffNumeric),,Integer,,,"; Prevents the current thread from being interrupted by other threads, or enables it to be interrupted.",
Functions.xml,Method,"DateAdd(DateTime, Time, TimeUnits)",,String,,,; Adds or subtracts time from a date-time value.,
Functions.xml,Method,"DateDiff(DateTime1, DateTime2, TimeUnits)",,Integer,,,; Compares two date-time values and returns the difference.,
Functions.xml,Method,DetectHiddenText(Mode),,Integer,,,"; Determines whether invisible text in a window is ""seen"" for the purpose of finding the window. This affects windowing functions such as WinExist and WinActivate.",
Functions.xml,Method,DetectHiddenWindows(Mode),,Integer,,,"; Determines whether invisible windows are ""seen"" by the script.",
Functions.xml,Method,"DirCopy(Source, Dest [, Overwrite])",,EmptyString,,,; Copies a folder along with all its sub-folders and files (similar to xcopy).,
Functions.xml,Method,DirCreate(DirName),,EmptyString,,,; Creates a folder.,
Functions.xml,Method,"DirDelete(DirName [, Recurse])",,EmptyString,,,; Deletes a folder.,
Functions.xml,Method,DirExist(FilePattern),,String,,,; Checks for the existence of a folder and returns its attributes.,
Functions.xml,Method,"DirMove(Source, Dest [, OverwriteOrRename])",,EmptyString,,,; Moves a folder along with all its sub-folders and files. It can also rename a folder.,
Functions.xml,Method,"DirSelect([StartingFolder, Options, Prompt])",,String,,,; Displays a standard dialog that allows the user to select a folder.,
Functions.xml,Method,"DllCall(['DllNameOrPath\'] Function [, Type1, Arg1, TypeN, ArgM, CdeclReturnType])",,Primitive,,,"; Calls a function inside a DLL, such as a standard Windows API function.",
Functions.xml,Method,"Download(URL, Filename)",,EmptyString,,,; Downloads a file from the Internet.,
Functions.xml,Method,DriveEject(Drive),,EmptyString,,,; Ejects the tray of the specified CD/DVD drive. DriveEject can also eject a removable drive like a USB stick.,
Functions.xml,Method,DriveGetCapacity(Path),,Integer,,,"; Returns the total capacity of the drive which contains the specified path, in megabytes.",
Functions.xml,Method,DriveGetFileSystem(Drive),,String,,,; Returns the type of the specified drive's file system.,
Functions.xml,Method,DriveGetLabel(Drive),,String,,,; Returns the volume label of the specified drive.,
Functions.xml,Method,DriveGetList(DriveType),,String,,,"; Returns a string of letters, one character for each drive letter in the system.",
Functions.xml,Method,DriveGetSerial(Drive),,Integer,,,; Returns the volume serial number of the specified drive.,
Functions.xml,Method,DriveGetSpaceFree(Path),,Integer,,,"; Returns the free disk space of the drive which contains the specified path, in megabytes.",
Functions.xml,Method,DriveGetStatus(Path),,String,,,; Returns the status of the drive which contains the specified path.,
Functions.xml,Method,DriveGetStatusCD([Drive]),,String,,,; Returns the media status of the specified CD/DVD drive.,
Functions.xml,Method,DriveGetType(Path),,String,,,; Returns the type of the drive which contains the specified path.,
Functions.xml,Method,DriveLock(Drive),,EmptyString,,,; Prevents the eject feature of the specified drive from working.,
Functions.xml,Method,DriveRetract(Drive),,EmptyString,,,; Retracts the tray of the specified CD/DVD drive.,
Functions.xml,Method,"DriveSetLabel(Drive [, NewLabel])",,EmptyString,,,; Changes the volume label of the specified drive.,
Functions.xml,Method,DriveUnlock(Drive),,EmptyString,,,; Restores the eject feature of the specified drive.,
Functions.xml,Method,Edit(),,EmptyString,,,; Opens the current script for editing in the default editor.,
Functions.xml,Method,"EditGetCurrentCol(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Returns the column number in an Edit control where the caret (text insertion point) resides.,
Functions.xml,Method,"EditGetCurrentLine(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Returns the line number in an Edit control where the caret (text insert point) resides.,
Functions.xml,Method,"EditGetLine(N, Control [, WinTitle, WinText, NotInTitle, NotInText])",,String,,,; Returns the text of the specified line in an Edit control.,
Functions.xml,Method,"EditGetLineCount(Control [, WinTitle, WinText, NotInTitle, NotInText])",,Integer,,,; Returns the number of lines in an Edit control.,
Functions.xml,Method,"EditGetSelectedText(Control [, WinTitle, WinText, NotInTitle, NotInText])",,String,,,; Returns the selected text in an Edit control.,
Functions.xml,Method,"EditPaste(String, Control [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,; Pastes the specified string at the caret (text insertion point) in an Edit control.,
Functions.xml,Method,EnvGet(EnvVar),,String,,,; Retrieves the value of the specified environment variable.,
Functions.xml,Method,"EnvSet(EnvVar [, Value])",,EmptyString,,,; Writes a value to the specified environment variable.,
Functions.xml,Method,Exit(ExitCode),,Integer,,,; Exits the current thread.,
Functions.xml,Method,ExitApp(ExitCode),,Integer,,,; Terminates the script.,
Functions.xml,Method,Exp(Num),,Number,,,; Returns the result of raising e (which is approximately 2.71828182845905) to the Nth power.,
Functions.xml,Method,"FileAppend(Text [, Filename, Options])",,EmptyString,,,"; Writes text or binary data to the end of a file (first creating the file, if necessary).",
Functions.xml,Method,"FileCopy(SourcePattern, DestPattern [, Overwrite])",,EmptyString,,,; Copies one or more files.,
Functions.xml,Method,"FileCreateShortcut(Target, LinkFile [, WorkingDir, Args, Description, IconFile, ShortcutKey, IconNumber, RunState])",,EmptyString,,,; Creates a shortcut (.lnk) file.,
Functions.xml,Method,FileDelete(FilePattern),,EmptyString,,,; Deletes one or more files.,
Functions.xml,Method,FileEncoding(Encoding),,String,,,"; Sets the default encoding for FileRead, Loop Read, FileAppend, and FileOpen.",
Functions.xml,Method,FileExist(FilePattern),,String,,,; Checks for the existence of a file or folder and returns its attributes.,
Functions.xml,Method,FileGetAttrib([Filename]),,String,,,"; Reports whether a file or folder is read-only, hidden, etc.",
Functions.xml,Method,"FileGetShortcut(LinkFile [, &OutTarget, &OutDir, &OutArgs, &OutDescription, &OutIcon, &OutIconNum, &OutRunState])",,EmptyString,,,"; Retrieves information about a shortcut (.lnk) file, such as its target file.",
Functions.xml,Method,"FileGetSize([Filename, Units])",,Integer,,,; Retrieves the size of a file.,
Functions.xml,Method,"FileGetTime([Filename, WhichTime])",,String,,,; Retrieves the datetime stamp of a file or folder.,
Functions.xml,Method,FileGetVersion([Filename]),,String,,,; Retrieves the version of a file.,
Functions.xml,Method,"FileInstall(Source, Dest [, Overwrite])",,EmptyString,,,; Includes the specified file inside the compiled version of the script.,
Functions.xml,Method,"FileMove(SourcePattern, DestPattern [, Overwrite])",,EmptyString,,,; Moves or renames one or more files.,
Functions.xml,Method,"FileOpen(Filename, Flags [, Encoding])",,File,,,; Opens a file to read specific content from it and/or to write new content into it.,
Functions.xml,Method,"FileRead(Filename [, Options])",,String,,,OR Buffer                                                                                          ; Retrieves the contents of a file.,
Functions.xml,Method,FileRecycle(FilePattern),,EmptyString,,,"; Sends a file or directory to the recycle bin if possible, or permanently deletes it.",
Functions.xml,Method,FileRecycleEmpty([DriveLetter]),,EmptyString,,,; Empties the recycle bin.,
Functions.xml,Method,"FileSelect([Options, RootDir\Filename, Title, Filter])",,String,,,or Array                                                                   ; Displays a standard dialog that allows the user to open or save file(s).,
Functions.xml,Method,"FileSetAttrib(Attributes [, FilePattern, Mode])",,EmptyString,,,; Changes the attributes of one or more files or folders. Wildcards are supported.,
Functions.xml,Method,"FileSetTime([YYYYMMDDHH24MISS, FilePattern, WhichTime, Mode])",,EmptyString,,,; Changes the datetime stamp of one or more files or folders. Wildcards are supported.,
Functions.xml,Method,Floor(Num),,Integer,,,; Returns the specified number rounded down to the nearest integer (without any .00 suffix).,
Functions.xml,Method,"Format(FormatStr [, Val1, ..., ValN])",,String,,,; Formats a variable number of input values according to a format string.,
Functions.xml,Method,"FormatTime([YYYYMMDDHH24MISS, Format])",,String,,,; Transforms a YYYYMMDDHH24MISS timestamp into the specified date/time format.,
Functions.xml,Method,GetKeyName(KeyName),,String,,,; Retrieves the name/text of a key.,
Functions.xml,Method,GetKeySC(KeyName),,Integer,,,; Retrieves the scan code of a key.,
Functions.xml,Method,"GetKeyState(KeyName [, Mode])",,Primitive,,,; Returns 1 (true) or 0 (false) depending on whether the specified keyboard key or mouse/controller button is down or up. Also retrieves controller status.,
Functions.xml,Method,GetKeyVK(KeyName),,Integer,,,; Retrieves the virtual key code of a key.,
Functions.xml,Method,"GetMethod(Value [, Name, ParamCount])",,Func,,,; Retrieves the implementation function of a method.,
Functions.xml,Method,"GroupActivate(GroupName [, Mode])",,Integer,,,; Activates the next window in a window group that was defined with GroupAdd.,
Functions.xml,Method,"GroupAdd(GroupName [, WinTitle, WinText, NotInTitle, NotInText])",,EmptyString,,,"; Adds a window specification to a window group, creating the group if necessary.",
Functions.xml,Method,"GroupClose(GroupName [, Mode])",,EmptyString,,,; Closes the active window if it was just activated by GroupActivate or GroupDeactivate. It then activates the next window in the series. It can also close all windows in a group.,
Functions.xml,Method,"GroupDeactivate(GroupName [, Mode])",,EmptyString,,,; Similar to GroupActivate except activates the next window not in the group.,
Functions.xml,Method,GuiCtrlFromHwnd(Hwnd),,Gui,,,.Control                                                                                                        ; Retrieves the GuiControl object of a GUI control associated with the specified window handle.,
Functions.xml,Method,"GuiFromHwnd(Hwnd [, RecurseParent])",,Gui,,,; Retrieves the Gui object of a GUI window associated with the specified window handle.,
Functions.xml,Method,"HasBase(Value, BaseObj)",,Integer,,,; Returns true if the specified base object is in the value's chain of base objects.,
Functions.xml,Method,"HasMethod(Value, Name, ParamCount)",,Integer,,,; Returns true if the value has a method by this name.,
Functions.xml,Method,"HasProp(Value, Name)",,Integer,,,; Returns true if the value has a property by this name.,
Functions.xml,Method,HotIf(ExpressionOrCallback),,EmptyString,,,; Specifies the criteria for subsequently created or modified hotkey variants and hotstring variants.,
Functions.xml,Method,"HotIfWinActive(WinTitle, WinText)",,EmptyString,,,; Specifies the criteria for subsequently created or modified hotkey variants and hotstring variants.,
Functions.xml,Method,"HotIfWinExist(WinTitle, WinText)",,EmptyString,,,; Specifies the criteria for subsequently created or modified hotkey variants and hotstring variants.,
Functions.xml,Method,"HotIfWinNotActive(WinTitle, WinText)",,EmptyString,,,; Specifies the criteria for subsequently created or modified hotkey variants and hotstring variants.,
Functions.xml,Method,"HotIfWinNotExist(WinTitle, WinText)",,EmptyString,,,; Specifies the criteria for subsequently created or modified hotkey variants and hotstring variants.,
Functions.xml,Method,"Hotkey(KeyName [, Action, Options])",,EmptyString,,,"; Creates, modifies, enables, or disables a hotkey while the script is running.",
Functions.xml,Method,"Hotstring(String [, Replacement, OnOffToggle])",,EmptyString,,,"; Creates, modifies, enables, or disables a hotstring while the script is running.",
Functions.xml,Method,Hotstring(NewOptions),,EmptyString,,,"; Creates, modifies, enables, or disables a hotstring while the script is running.",
Functions.xml,Method,"Hotstring(SubFunction [, Value])",,EmptyString,,,"; Creates, modifies, enables, or disables a hotstring while the script is running.",
Functions.xml,Method,"IL_Add(ImageListID, IconFileName [, IconNumber])",,Integer,,,; Adds an icon or picture to the specified ImageList.,
Functions.xml,Method,"IL_Add(ImageListID, PicFileName, MaskColor, Resize)",,Integer,,,; Adds an icon or picture to the specified ImageList.,
Functions.xml,Method,"IL_Create([InitialCount, GrowCount, LargeIcons])",,Integer,,,; Creates a new ImageList that is initially empty.,
Functions.xml,Method,IL_Destroy(ImageListID),,Integer,,,; Deletes the specified ImageList.,
Functions.xml,Method,"ImageSearch(&OutX, &OutY, X1, Y1, X2, Y2, ImageFile)",,Integer,,,; Searches a region of the screen for an image.,
Functions.xml,Method,"IniDelete(Filename, Section [, Key])",,EmptyString,,,; Deletes a value from a standard format .ini file.,
Functions.xml,Method,"IniRead(Filename, Section, Key [, Default])",,String,,,; Reads a value from a standard format .ini file.,
Functions.xml,Method,"IniRead(Filename, Section)",,String,,,; Reads a section from a standard format .ini file.,
Functions.xml,Method,IniRead(Filename),,String,,,; Reads a list of section names from a standard format .ini file.,
Functions.xml,Method,"IniWrite(Value, Filename, Section, Key)",,EmptyString,,,; Writes a value or section to a standard format .ini file.,
Functions.xml,Method,"IniWrite(Value, Filename, Section)",,EmptyString,,,; Writes a value or section to a standard format .ini file.,
Functions.xml,Method,"InputBox([Prompt, Title, Options, Default])",,Object,,,; Displays an input box to ask the user to enter a string.,
Functions.xml,Method,"InstallKeybdHook([Install, Force])",,EmptyString,,,; Installs or uninstalls the keyboard hook.,
Functions.xml,Method,"InstallMouseHook([Install, Force])",,EmptyString,,,; Installs or uninstalls the mouse hook.,
Functions.xml,Method,"InStr(Haystack, Needle [, CaseSense, StartingPos, Occurrence])",,Integer,,,"; Searches for a given occurrence of a string, from the left or the right.",
Functions.xml,Method,IsLabel(LabelName),,Integer,,,; Returns a non-zero number if the specified label exists in the current scope.,
Functions.xml,Method,IsObject(Value),,Integer,,,; Returns a non-zero number if the specified value is an object.,
Functions.xml,Method,IsSet(Var),,Integer,,,; Returns a non-zero number if the specified variable has been assigned a value.,
Functions.xml,Method,IsSetRef(&Ref),,Integer,,,; Returns a non-zero number if the specified var ref has been assigned a value.,
Functions.xml,Method,KeyHistory([MaxEvents]),,EmptyString,,,; Displays script info and a history of the most recent keystrokes and mouse clicks.,
Functions.xml,Method,"KeyWait(KeyName [, Options])",,Integer,,,; Waits for a key or mouse/controller button to be released or pressed down.,
Functions.xml,Method,ListHotkeys(),,EmptyString,,,"; Displays the hotkeys in use by the current script, whether their subroutines are currently running, and whether or not they use the keyboard or mouse hook.",
Functions.xml,Method,ListLines([Mode]),,Integer,,,; Enables or disables line logging or displays the script lines most recently executed.,
Functions.xml,Method,ListVars(),,EmptyString,,,; Displays the script's variables: their names and current contents.,
Functions.xml,Method,"ListViewGetContent([Options, Control, WinTitle, WinText, NotInTitle, NotInText])",,String,,,; Returns a list of items/rows from a ListView.,
Functions.xml,Method,Ln(Num),,Number,,,; Returns the natural logarithm (base e) of the specified number.,
Functions.xml,Method,"LoadPicture(Filename [, Options, &OutImageType])",,Integer,,,; Loads a picture from file and returns a bitmap or icon handle.,
Functions.xml,Method,Log(Num),,Number,,,; Returns the logarithm (base 10) of the specified number.,
Functions.xml,Method,"LTrim(String [, OmitChars])",,String,,,; Trims characters from the beginning and/or end of a string.,
Functions.xml,Method,"Max(Number1 [, Number2, ..., NumberN])",,Number,,,; Returns the highest number from a set of numbers.,
Functions.xml,Method,MenuFromHandle(Handle),,Menu,,,OR MenuBar                                                                                                   ; Retrieves the Menu or MenuBar object corresponding to a Win32 menu handle.,
Functions.xml,Method,"MenuSelect(WinTitle, WinText, Menu [, SubMenu1, SubMenu2, SubMenu3, SubMenu4, SubMenu5, SubMenu6, NotInTitle, NotInText])",,EmptyString,,,; Invokes a menu item from the menu bar of the specified window.,
Functions.xml,Method,"Min(Number1 [, Number2, ..., NumberN])",,Number,,,; Returns the lowest number from a set of numbers.,
Functions.xml,Method,"Mod(Dividend, Divisor)",,Number,,,; Modulo. Returns the remainder of a number (dividend) divided by another number (divisor).,
