"Name","CommandType","Source"
"Add-DnsClientNrptRule","Function","DnsClient"
"Add-DtcClusterTMMapping","Function","MsDtc"
"Add-EtwTraceProvider","Function","EventTracingManagement"
"Add-InitiatorIdToMaskingSet","Function","Storage"
"Add-MpPreference","Function","ConfigDefender"
"Add-MpPreference","Function","Defender"
"Add-NetEventNetworkAdapter","Function","NetEventPacketCapture"
"Add-NetEventPacketCaptureProvider","Function","NetEventPacketCapture"
"Add-NetEventProvider","Function","NetEventPacketCapture"
"Add-NetEventVFPProvider","Function","NetEventPacketCapture"
"Add-NetEventVmNetworkAdapter","Function","NetEventPacketCapture"
"Add-NetEventVmSwitch","Function","NetEventPacketCapture"
"Add-NetEventVmSwitchProvider","Function","NetEventPacketCapture"
"Add-NetEventWFPCaptureProvider","Function","NetEventPacketCapture"
"Add-NetIPHttpsCertBinding","Function","NetworkTransition"
"Add-NetLbfoTeamMember","Function","NetLbfo"
"Add-NetLbfoTeamNic","Function","NetLbfo"
"Add-NetNatExternalAddress","Function","NetNat"
"Add-NetNatStaticMapping","Function","NetNat"
"Add-NetSwitchTeamMember","Function","NetSwitchTeam"
"Add-OdbcDsn","Function","Wdac"
"Add-PartitionAccessPath","Function","Storage"
"Add-PhysicalDisk","Function","Storage"
"Add-Printer","Function","PrintManagement"
"Add-PrinterDriver","Function","PrintManagement"
"Add-PrinterPort","Function","PrintManagement"
"Add-StorageFaultDomain","Function","Storage"
"Add-TargetPortToMaskingSet","Function","Storage"
"Add-VirtualDiskToMaskingSet","Function","Storage"
"Add-VMDirectVirtualDisk","Function","VMDirectStorage"
"Add-VpnConnection","Function","VpnClient"
"Add-VpnConnectionRoute","Function","VpnClient"
"Add-VpnConnectionTriggerApplication","Function","VpnClient"
"Add-VpnConnectionTriggerDnsConfiguration","Function","VpnClient"
"Add-VpnConnectionTriggerTrustedNetwork","Function","VpnClient"
"AfterAll","Function","Pester"
"AfterEach","Function","Pester"
"Archive","Function",""
"Archive2","Function",""
"Assert-MockCalled","Function","Pester"
"Assert-VerifiableMocks","Function","Pester"
"B:","Function",""
"Backup-BitLockerKeyProtector","Function","BitLocker"
"BackupToAAD-BitLockerKeyProtector","Function","BitLocker"
"BackupToMSA-BitLockerKeyProtector","Function","BitLocker"
"BeforeAll","Function","Pester"
"BeforeEach","Function","Pester"
"Block-FileShareAccess","Function","Storage"
"Block-SmbClientAccessToServer","Function","SmbShare"
"Block-SmbShareAccess","Function","SmbShare"
"C:","Function",""
"cc","Function",""
"cd..","Function",""
"cdx","Function",""
"cd\","Function",""
"cd~","Function",""
"claude","Function",""
"Clear-AssignedAccess","Function","AssignedAccess"
"Clear-BCCache","Function","BranchCache"
"Clear-BitLockerAutoUnlock","Function","BitLocker"
"Clear-Disk","Function","Storage"
"Clear-DnsClientCache","Function","DnsClient"
"Clear-FileStorageTier","Function","Storage"
"Clear-Host","Function",""
"Clear-PcsvDeviceLog","Function","PcsvDevice"
"Clear-StorageBusDisk","Function","StorageBusCache"
"Clear-StorageDiagnosticInfo","Function","Storage"
"Close-SmbOpenFile","Function","SmbShare"
"Close-SmbSession","Function","SmbShare"
"Compress-Archive","Function","Microsoft.PowerShell.Archive"
"Compress-Archive","Function","Microsoft.PowerShell.Archive"
"Compress-Completions","Function",""
"Configuration","Function","PSDesiredStateConfiguration"
"Connect-IscsiTarget","Function","iSCSI"
"Connect-VirtualDisk","Function","Storage"
"Context","Function","Pester"
"Convert-PhysicalDisk","Function","Storage"
"ConvertTo-HgsKeyProtector","Function","HgsClient"
"Copy-NetFirewallRule","Function","NetSecurity"
"Copy-NetIPsecMainModeCryptoSet","Function","NetSecurity"
"Copy-NetIPsecMainModeRule","Function","NetSecurity"
"Copy-NetIPsecPhase1AuthSet","Function","NetSecurity"
"Copy-NetIPsecPhase2AuthSet","Function","NetSecurity"
"Copy-NetIPsecQuickModeCryptoSet","Function","NetSecurity"
"Copy-NetIPsecRule","Function","NetSecurity"
"D:","Function",""
"Debug-FileShare","Function","Storage"
"Debug-MMAppPrelaunch","Function","MMAgent"
"Debug-StorageSubSystem","Function","Storage"
"Debug-Volume","Function","Storage"
"Delete-DeliveryOptimizationCache","Function","DeliveryOptimization"
"Describe","Function","Pester"
"Disable-BC","Function","BranchCache"
"Disable-BCDowngrading","Function","BranchCache"
"Disable-BCServeOnBattery","Function","BranchCache"
"Disable-BitLocker","Function","BitLocker"
"Disable-BitLockerAutoUnlock","Function","BitLocker"
"Disable-DAManualEntryPointSelection","Function","DirectAccessClientComponents"
"Disable-DeliveryOptimizationVerboseLogs","Function","DeliveryOptimization"
"Disable-DscDebug","Function","PSDesiredStateConfiguration"
"Disable-MMAgent","Function","MMAgent"
"Disable-NetAdapter","Function","NetAdapter"
"Disable-NetAdapterBinding","Function","NetAdapter"
"Disable-NetAdapterChecksumOffload","Function","NetAdapter"
"Disable-NetAdapterEncapsulatedPacketTaskOffload","Function","NetAdapter"
"Disable-NetAdapterIPsecOffload","Function","NetAdapter"
"Disable-NetAdapterLso","Function","NetAdapter"
"Disable-NetAdapterPacketDirect","Function","NetAdapter"
"Disable-NetAdapterPowerManagement","Function","NetAdapter"
"Disable-NetAdapterQos","Function","NetAdapter"
"Disable-NetAdapterRdma","Function","NetAdapter"
"Disable-NetAdapterRsc","Function","NetAdapter"
"Disable-NetAdapterRss","Function","NetAdapter"
"Disable-NetAdapterSriov","Function","NetAdapter"
"Disable-NetAdapterUro","Function","NetAdapter"
"Disable-NetAdapterUso","Function","NetAdapter"
"Disable-NetAdapterVmq","Function","NetAdapter"
"Disable-NetDnsTransitionConfiguration","Function","NetworkTransition"
"Disable-NetFirewallHyperVRule","Function","NetSecurity"
"Disable-NetFirewallRule","Function","NetSecurity"
"Disable-NetIPHttpsProfile","Function","NetworkTransition"
"Disable-NetIPsecMainModeRule","Function","NetSecurity"
"Disable-NetIPsecRule","Function","NetSecurity"
"Disable-NetNatTransitionConfiguration","Function","NetworkTransition"
"Disable-NetworkSwitchEthernetPort","Function","NetworkSwitchManager"
"Disable-NetworkSwitchFeature","Function","NetworkSwitchManager"
"Disable-NetworkSwitchVlan","Function","NetworkSwitchManager"
"Disable-OdbcPerfCounter","Function","Wdac"
"Disable-PhysicalDiskIdentification","Function","Storage"
"Disable-PnpDevice","Function","PnpDevice"
"Disable-PSTrace","Function","PSDiagnostics"
"Disable-PSTrace","Function","PSDiagnostics"
"Disable-PSWSManCombinedTrace","Function","PSDiagnostics"
"Disable-PSWSManCombinedTrace","Function","PSDiagnostics"
"Disable-ScheduledTask","Function","ScheduledTasks"
"Disable-SmbDelegation","Function","SmbShare"
"Disable-StorageBusCache","Function","StorageBusCache"
"Disable-StorageBusDisk","Function","StorageBusCache"
"Disable-StorageDataCollection","Function","Storage"
"Disable-StorageEnclosureIdentification","Function","Storage"
"Disable-StorageEnclosurePower","Function","Storage"
"Disable-StorageHighAvailability","Function","Storage"
"Disable-StorageMaintenanceMode","Function","Storage"
"Disable-WdacBidTrace","Function","Wdac"
"Disable-WSManTrace","Function","PSDiagnostics"
"Disable-WSManTrace","Function","PSDiagnostics"
"Disconnect-IscsiTarget","Function","iSCSI"
"Disconnect-VirtualDisk","Function","Storage"
"Dismount-DiskImage","Function","Storage"
"E:","Function",""
"Enable-BCDistributed","Function","BranchCache"
"Enable-BCDowngrading","Function","BranchCache"
"Enable-BCHostedClient","Function","BranchCache"
"Enable-BCHostedServer","Function","BranchCache"
"Enable-BCLocal","Function","BranchCache"
"Enable-BCServeOnBattery","Function","BranchCache"
"Enable-BitLocker","Function","BitLocker"
"Enable-BitLockerAutoUnlock","Function","BitLocker"
"Enable-DAManualEntryPointSelection","Function","DirectAccessClientComponents"
"Enable-DeliveryOptimizationVerboseLogs","Function","DeliveryOptimization"
"Enable-DscDebug","Function","PSDesiredStateConfiguration"
"Enable-MMAgent","Function","MMAgent"
"Enable-NetAdapter","Function","NetAdapter"
"Enable-NetAdapterBinding","Function","NetAdapter"
"Enable-NetAdapterChecksumOffload","Function","NetAdapter"
"Enable-NetAdapterEncapsulatedPacketTaskOffload","Function","NetAdapter"
"Enable-NetAdapterIPsecOffload","Function","NetAdapter"
"Enable-NetAdapterLso","Function","NetAdapter"
"Enable-NetAdapterPacketDirect","Function","NetAdapter"
"Enable-NetAdapterPowerManagement","Function","NetAdapter"
"Enable-NetAdapterQos","Function","NetAdapter"
"Enable-NetAdapterRdma","Function","NetAdapter"
"Enable-NetAdapterRsc","Function","NetAdapter"
"Enable-NetAdapterRss","Function","NetAdapter"
"Enable-NetAdapterSriov","Function","NetAdapter"
"Enable-NetAdapterUro","Function","NetAdapter"
"Enable-NetAdapterUso","Function","NetAdapter"
"Enable-NetAdapterVmq","Function","NetAdapter"
"Enable-NetDnsTransitionConfiguration","Function","NetworkTransition"
"Enable-NetFirewallHyperVRule","Function","NetSecurity"
"Enable-NetFirewallRule","Function","NetSecurity"
"Enable-NetIPHttpsProfile","Function","NetworkTransition"
"Enable-NetIPsecMainModeRule","Function","NetSecurity"
"Enable-NetIPsecRule","Function","NetSecurity"
"Enable-NetNatTransitionConfiguration","Function","NetworkTransition"
"Enable-NetworkSwitchEthernetPort","Function","NetworkSwitchManager"
"Enable-NetworkSwitchFeature","Function","NetworkSwitchManager"
"Enable-NetworkSwitchVlan","Function","NetworkSwitchManager"
"Enable-OdbcPerfCounter","Function","Wdac"
"Enable-PhysicalDiskIdentification","Function","Storage"
"Enable-PnpDevice","Function","PnpDevice"
"Enable-PSTrace","Function","PSDiagnostics"
"Enable-PSTrace","Function","PSDiagnostics"
"Enable-PSWSManCombinedTrace","Function","PSDiagnostics"
"Enable-PSWSManCombinedTrace","Function","PSDiagnostics"
"Enable-ScheduledTask","Function","ScheduledTasks"
"Enable-SmbDelegation","Function","SmbShare"
"Enable-StorageBusCache","Function","StorageBusCache"
"Enable-StorageBusDisk","Function","StorageBusCache"
"Enable-StorageDataCollection","Function","Storage"
"Enable-StorageEnclosureIdentification","Function","Storage"
"Enable-StorageEnclosurePower","Function","Storage"
"Enable-StorageHighAvailability","Function","Storage"
"Enable-StorageMaintenanceMode","Function","Storage"
"Enable-WdacBidTrace","Function","Wdac"
"Enable-WSManTrace","Function","PSDiagnostics"
"Enable-WSManTrace","Function","PSDiagnostics"
"Expand-Archive","Function","Microsoft.PowerShell.Archive"
"Expand-Archive","Function","Microsoft.PowerShell.Archive"
"Export-BCCachePackage","Function","BranchCache"
"Export-BCSecretKey","Function","BranchCache"
"Export-HgsGuardian","Function","HgsClient"
"Export-ODataEndpointProxy","Function","Microsoft.PowerShell.ODataUtils"
"Export-ScheduledTask","Function","ScheduledTasks"
"Export-WinhttpProxy","Function","WinHttpProxy"
"F:","Function",""
"Find-Command","Function","PowerShellGet"
"Find-Command","Function","PowerShellGet"
"Find-DSCResource","Function","PowerShellGet"
"Find-DscResource","Function","PowerShellGet"
"Find-Module","Function","PowerShellGet"
"Find-Module","Function","PowerShellGet"
"Find-NetIPsecRule","Function","NetSecurity"
"Find-NetRoute","Function","NetTCPIP"
"Find-RoleCapability","Function","PowerShellGet"
"Find-RoleCapability","Function","PowerShellGet"
"Find-Script","Function","PowerShellGet"
"Find-Script","Function","PowerShellGet"
"Flush-EtwTraceSession","Function","EventTracingManagement"
"Format-Volume","Function","Storage"
"G:","Function",""
"Get-AppBackgroundTask","Function","AppBackgroundTask"
"Get-AppvVirtualProcess","Function","AppvClient"
"Get-AppxLastError","Function","Appx"
"Get-AppxLog","Function","Appx"
"Get-AssignedAccess","Function","AssignedAccess"
"Get-AutologgerConfig","Function","EventTracingManagement"
"Get-BCClientConfiguration","Function","BranchCache"
"Get-BCContentServerConfiguration","Function","BranchCache"
"Get-BCDataCache","Function","BranchCache"
"Get-BCDataCacheExtension","Function","BranchCache"
"Get-BCHashCache","Function","BranchCache"
"Get-BCHostedCacheServerConfiguration","Function","BranchCache"
"Get-BCNetworkConfiguration","Function","BranchCache"
"Get-BCStatus","Function","BranchCache"
"Get-BitLockerVolume","Function","BitLocker"
"Get-ClusteredScheduledTask","Function","ScheduledTasks"
"Get-CredsFromCredentialProvider","Function","PowerShellGet"
"Get-DAClientExperienceConfiguration","Function","DirectAccessClientComponents"
"Get-DAConnectionStatus","Function","NetworkConnectivityStatus"
"Get-DAEntryPointTableItem","Function","DirectAccessClientComponents"
"Get-DedupProperties","Function","Storage"
"Get-DeliveryOptimizationPerfSnap","Function","DeliveryOptimization"
"Get-DeliveryOptimizationPerfSnapThisMonth","Function","DeliveryOptimization"
"Get-DeliveryOptimizationStatus","Function","DeliveryOptimization"
"Get-Disk","Function","Storage"
"Get-DiskImage","Function","Storage"
"Get-DiskStorageNodeView","Function","Storage"
"Get-DnsClient","Function","DnsClient"
"Get-DnsClientCache","Function","DnsClient"
"Get-DnsClientDohServerAddress","Function","DnsClient"
"Get-DnsClientGlobalSetting","Function","DnsClient"
"Get-DnsClientNrptGlobal","Function","DnsClient"
"Get-DnsClientNrptPolicy","Function","DnsClient"
"Get-DnsClientNrptRule","Function","DnsClient"
"Get-DnsClientServerAddress","Function","DnsClient"
"Get-DOConfig","Function","DeliveryOptimization"
"Get-DODownloadMode","Function","DeliveryOptimization"
"Get-DOPercentageMaxBackgroundBandwidth","Function","DeliveryOptimization"
"Get-DOPercentageMaxForegroundBandwidth","Function","DeliveryOptimization"
"Get-DscConfiguration","Function","PSDesiredStateConfiguration"
"Get-DscConfigurationStatus","Function","PSDesiredStateConfiguration"
"Get-DscLocalConfigurationManager","Function","PSDesiredStateConfiguration"
"Get-DscResource","Function","PSDesiredStateConfiguration"
"Get-Dtc","Function","MsDtc"
"Get-DtcAdvancedHostSetting","Function","MsDtc"
"Get-DtcAdvancedSetting","Function","MsDtc"
"Get-DtcClusterDefault","Function","MsDtc"
"Get-DtcClusterTMMapping","Function","MsDtc"
"Get-DtcDefault","Function","MsDtc"
"Get-DtcLog","Function","MsDtc"
"Get-DtcNetworkSetting","Function","MsDtc"
"Get-DtcTransaction","Function","MsDtc"
"Get-DtcTransactionsStatistics","Function","MsDtc"
"Get-DtcTransactionsTraceSession","Function","MsDtc"
"Get-DtcTransactionsTraceSetting","Function","MsDtc"
"Get-EtwTraceProvider","Function","EventTracingManagement"
"Get-EtwTraceSession","Function","EventTracingManagement"
"Get-FileIntegrity","Function","Storage"
"Get-FileShare","Function","Storage"
"Get-FileShareAccessControlEntry","Function","Storage"
"Get-FileStorageTier","Function","Storage"
"Get-HgsClientConfiguration","Function","HgsClient"
"Get-HgsClientHostKey","Function","HgsClient"
"Get-HgsGuardian","Function","HgsClient"
"Get-HnsEndpoint","Function","HostNetworkingService"
"Get-HnsEndpointAddresses","Function","HostNetworkingService"
"Get-HnsEndpointStats","Function","HostNetworkingService"
"Get-HnsNamespace","Function","HostNetworkingService"
"Get-HnsNetwork","Function","HostNetworkingService"
"Get-HnsPolicyList","Function","HostNetworkingService"
"Get-InitiatorId","Function","Storage"
"Get-InitiatorPort","Function","Storage"
"Get-InstalledModule","Function","PowerShellGet"
"Get-InstalledModule","Function","PowerShellGet"
"Get-InstalledScript","Function","PowerShellGet"
"Get-InstalledScript","Function","PowerShellGet"
"Get-IscsiConnection","Function","iSCSI"
"Get-IscsiSession","Function","iSCSI"
"Get-IscsiTarget","Function","iSCSI"
"Get-IscsiTargetPortal","Function","iSCSI"
"Get-IseSnippet","Function","ISE"
"Get-LapsAADPassword","Function","LAPS"
"Get-LapsDiagnostics","Function","LAPS"
"Get-LogProperties","Function","PSDiagnostics"
"Get-LogProperties","Function","PSDiagnostics"
"Get-MaskingSet","Function","Storage"
"Get-MMAgent","Function","MMAgent"
"Get-MockDynamicParameters","Function","Pester"
"Get-MpBehavioralNetworkBlockingRules","Function","ConfigDefender"
"Get-MpComputerStatus","Function","ConfigDefender"
"Get-MpComputerStatus","Function","Defender"
"Get-MpPerformanceReport","Function","ConfigDefenderPerformance"
"Get-MpPerformanceReport","Function","DefenderPerformance"
"Get-MpPreference","Function","ConfigDefender"
"Get-MpPreference","Function","Defender"
"Get-MpThreat","Function","ConfigDefender"
"Get-MpThreat","Function","Defender"
"Get-MpThreatCatalog","Function","ConfigDefender"
"Get-MpThreatCatalog","Function","Defender"
"Get-MpThreatDetection","Function","ConfigDefender"
"Get-MpThreatDetection","Function","Defender"
"Get-NCSIPolicyConfiguration","Function","NetworkConnectivityStatus"
"Get-Net6to4Configuration","Function","NetworkTransition"
"Get-NetAdapter","Function","NetAdapter"
"Get-NetAdapterAdvancedProperty","Function","NetAdapter"
"Get-NetAdapterBinding","Function","NetAdapter"
"Get-NetAdapterChecksumOffload","Function","NetAdapter"
"Get-NetAdapterDataPathConfiguration","Function","NetAdapter"
"Get-NetAdapterEncapsulatedPacketTaskOffload","Function","NetAdapter"
"Get-NetAdapterHardwareInfo","Function","NetAdapter"
"Get-NetAdapterIPsecOffload","Function","NetAdapter"
"Get-NetAdapterLso","Function","NetAdapter"
"Get-NetAdapterPacketDirect","Function","NetAdapter"
"Get-NetAdapterPowerManagement","Function","NetAdapter"
"Get-NetAdapterQos","Function","NetAdapter"
"Get-NetAdapterRdma","Function","NetAdapter"
"Get-NetAdapterRsc","Function","NetAdapter"
"Get-NetAdapterRss","Function","NetAdapter"
"Get-NetAdapterSriov","Function","NetAdapter"
"Get-NetAdapterSriovVf","Function","NetAdapter"
"Get-NetAdapterStatistics","Function","NetAdapter"
"Get-NetAdapterUro","Function","NetAdapter"
"Get-NetAdapterUso","Function","NetAdapter"
"Get-NetAdapterVmq","Function","NetAdapter"
"Get-NetAdapterVMQQueue","Function","NetAdapter"
"Get-NetAdapterVPort","Function","NetAdapter"
"Get-NetCompartment","Function","NetTCPIP"
"Get-NetConnectionProfile","Function","NetConnection"
"Get-NetDnsTransitionConfiguration","Function","NetworkTransition"
"Get-NetDnsTransitionMonitoring","Function","NetworkTransition"
"Get-NetEventNetworkAdapter","Function","NetEventPacketCapture"
"Get-NetEventPacketCaptureProvider","Function","NetEventPacketCapture"
"Get-NetEventProvider","Function","NetEventPacketCapture"
"Get-NetEventSession","Function","NetEventPacketCapture"
"Get-NetEventVFPProvider","Function","NetEventPacketCapture"
"Get-NetEventVmNetworkAdapter","Function","NetEventPacketCapture"
"Get-NetEventVmSwitch","Function","NetEventPacketCapture"
"Get-NetEventVmSwitchProvider","Function","NetEventPacketCapture"
"Get-NetEventWFPCaptureProvider","Function","NetEventPacketCapture"
"Get-NetFirewallAddressFilter","Function","NetSecurity"
"Get-NetFirewallApplicationFilter","Function","NetSecurity"
"Get-NetFirewallDynamicKeywordAddress","Function","NetSecurity"
"Get-NetFirewallHyperVPort","Function","NetSecurity"
"Get-NetFirewallHyperVProfile","Function","NetSecurity"
"Get-NetFirewallHyperVRule","Function","NetSecurity"
"Get-NetFirewallHyperVVMCreator","Function","NetSecurity"
"Get-NetFirewallHyperVVMSetting","Function","NetSecurity"
"Get-NetFirewallInterfaceFilter","Function","NetSecurity"
"Get-NetFirewallInterfaceTypeFilter","Function","NetSecurity"
"Get-NetFirewallPortFilter","Function","NetSecurity"
"Get-NetFirewallProfile","Function","NetSecurity"
"Get-NetFirewallRule","Function","NetSecurity"
"Get-NetFirewallSecurityFilter","Function","NetSecurity"
"Get-NetFirewallServiceFilter","Function","NetSecurity"
"Get-NetFirewallSetting","Function","NetSecurity"
"Get-NetIPAddress","Function","NetTCPIP"
"Get-NetIPConfiguration","Function","NetTCPIP"
"Get-NetIPHttpsConfiguration","Function","NetworkTransition"
"Get-NetIPHttpsState","Function","NetworkTransition"
"Get-NetIPInterface","Function","NetTCPIP"
"Get-NetIPsecDospSetting","Function","NetSecurity"
"Get-NetIPsecMainModeCryptoSet","Function","NetSecurity"
"Get-NetIPsecMainModeRule","Function","NetSecurity"
"Get-NetIPsecMainModeSA","Function","NetSecurity"
"Get-NetIPsecPhase1AuthSet","Function","NetSecurity"
"Get-NetIPsecPhase2AuthSet","Function","NetSecurity"
"Get-NetIPsecQuickModeCryptoSet","Function","NetSecurity"
"Get-NetIPsecQuickModeSA","Function","NetSecurity"
"Get-NetIPsecRule","Function","NetSecurity"
"Get-NetIPv4Protocol","Function","NetTCPIP"
"Get-NetIPv6Protocol","Function","NetTCPIP"
"Get-NetIsatapConfiguration","Function","NetworkTransition"
"Get-NetLbfoTeam","Function","NetLbfo"
"Get-NetLbfoTeamMember","Function","NetLbfo"
"Get-NetLbfoTeamNic","Function","NetLbfo"
"Get-NetNat","Function","NetNat"
"Get-NetNatExternalAddress","Function","NetNat"
"Get-NetNatGlobal","Function","NetNat"
"Get-NetNatSession","Function","NetNat"
"Get-NetNatStaticMapping","Function","NetNat"
"Get-NetNatTransitionConfiguration","Function","NetworkTransition"
"Get-NetNatTransitionMonitoring","Function","NetworkTransition"
"Get-NetNeighbor","Function","NetTCPIP"
"Get-NetOffloadGlobalSetting","Function","NetTCPIP"
"Get-NetPrefixPolicy","Function","NetTCPIP"
"Get-NetQosPolicy","Function","NetQos"
"Get-NetRoute","Function","NetTCPIP"
"Get-NetSwitchTeam","Function","NetSwitchTeam"
"Get-NetSwitchTeamMember","Function","NetSwitchTeam"
"Get-NetTCPConnection","Function","NetTCPIP"
"Get-NetTCPSetting","Function","NetTCPIP"
"Get-NetTeredoConfiguration","Function","NetworkTransition"
"Get-NetTeredoState","Function","NetworkTransition"
"Get-NetTransportFilter","Function","NetTCPIP"
"Get-NetUDPEndpoint","Function","NetTCPIP"
"Get-NetUDPSetting","Function","NetTCPIP"
"Get-NetView","Function","Get-NetView"
"Get-NetworkSwitchEthernetPort","Function","NetworkSwitchManager"
"Get-NetworkSwitchFeature","Function","NetworkSwitchManager"
"Get-NetworkSwitchGlobalData","Function","NetworkSwitchManager"
"Get-NetworkSwitchVlan","Function","NetworkSwitchManager"
"Get-OdbcDriver","Function","Wdac"
"Get-OdbcDsn","Function","Wdac"
"Get-OdbcPerfCounter","Function","Wdac"
"Get-OffloadDataTransferSetting","Function","Storage"
"Get-OperationValidation","Function","Microsoft.PowerShell.Operation.Validation"
"Get-Partition","Function","Storage"
"Get-PartitionSupportedSize","Function","Storage"
"Get-PcsvDevice","Function","PcsvDevice"
